x,y,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On
-87.656021764,41.79155839,8884473,HV558968,11/12/2012 02:10:00 PM,056XX S ELIZABETH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0713,007,16,67,18,1168952,1867362,2012,02/10/2018 03:50:01 PM
-87.604062246,41.77679711,3308276,HK343156,05/04/2004 09:00:00 PM,008XX E 65TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0312,003,20,42,08B,1183167,1862099,2004,02/28/2018 03:56:25 PM
-87.641052484,41.912101208,4179845,HL502898,07/23/2005 04:00:00 PM,016XX N CLEVELAND AVE,0560,ASSAULT,SIMPLE,STREET,true,false,1813,018,43,7,08A,1172680,1911320,2005,02/28/2018 03:56:25 PM
-87.661941839,41.904442607,2507897,HH851512,12/20/2002 10:15:00 PM,013XX W CRYSTAL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1433,014,32,24,14,1167016,1908484,2002,02/28/2018 03:56:25 PM
-87.78619578,41.77886819,2456123,HH783539,11/16/2002 11:30:00 AM,062XX S NASHVILLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0812,008,23,64,14,1133483,1862485,2002,02/10/2018 03:50:01 PM
-87.693149601,41.76952879,4643201,HM242180,03/20/2006 06:45:00 AM,068XX S CALIFORNIA AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS,true,false,0831,008,18,66,08A,1158887,1859257,2006,02/10/2018 03:50:01 PM
-87.619657812,41.703037478,3300809,HK283640,04/05/2004 02:07:37 PM,105XX S EDBROOKE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0512,005,9,49,18,1179136,1835186,2004,02/28/2018 03:56:25 PM
-87.641987603,41.680225874,11264853,JB197243,03/21/2018 08:00:00 AM,117XX S HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0524,005,34,53,14,1173105,1826824,2018,05/04/2018 03:51:04 PM
-87.63931246,41.905526506,9393197,HW536870,11/17/2013 08:15:00 AM,004XX W GOETHE ST,0810,THEFT,OVER $500,RESIDENCE,false,false,1821,018,27,8,06,1173173,1908928,2013,02/10/2018 03:50:01 PM
-87.664680253,41.751610993,6190254,HP275861,04/08/2008 12:01:00 AM,078XX S MARSHFIELD AVE,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,false,false,0611,006,17,71,06,1166704,1852787,2008,02/28/2018 03:56:25 PM
-87.617147205,41.865000681,2972414,HJ667542,09/29/2003 10:00:00 PM,004XX E MC FETRIDGE DR,0870,THEFT,POCKET-PICKING,SPORTS ARENA/STADIUM,false,false,0133,001,2,33,06,1179330,1894210,2003,02/28/2018 03:56:25 PM
-87.61319282,41.77958802,8857793,HV531575,10/23/2012 07:30:00 PM,063XX S EBERHART AVE,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0312,003,20,42,08A,1180668,1863095,2012,02/10/2018 03:50:01 PM
-87.767307661,41.953177006,4466829,HL762039,11/27/2005 09:00:00 PM,056XX W IRVING PARK RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),false,false,1624,016,38,15,11,1138216,1926036,2005,02/28/2018 03:56:25 PM
-87.663873198,41.767910191,5194511,HM782640,12/19/2006 04:48:00 AM,069XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,0735,007,17,67,05,1166878,1858728,2006,02/28/2018 03:56:25 PM
-87.741696522,41.961354617,5629831,HN436795,06/29/2007 11:26:22 PM,045XX W AGATITE AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1722,017,45,16,08B,1145162,1929063,2007,02/28/2018 03:56:25 PM
-87.709305775,41.905025355,3241364,HK263437,03/26/2004 11:15:00 AM,013XX N SPAULDING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1422,014,26,23,18,1154121,1908599,2004,02/28/2018 03:56:25 PM
-87.552581647,41.744449336,3204892,HK216505,03/02/2004 08:00:00 PM,083XX S EXCHANGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,false,false,0424,004,10,46,07,1197316,1850435,2004,02/10/2018 03:50:01 PM
-87.703793233,41.862983609,3141655,HK135296,01/13/2004 09:00:00 PM,031XX W DOUGLAS BLVD,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1022,010,24,29,06,1155734,1893290,2004,02/28/2018 03:56:25 PM
-87.628276721,41.878178813,11369584,JB335280,07/04/2018 05:00:00 PM,0000X W JACKSON BLVD,0560,ASSAULT,SIMPLE,RESTAURANT,false,false,0113,001,42,32,08A,1176259,1898987,2018,07/11/2018 03:55:29 PM
